ID,Title,Created Date,Updated Date,Author,Commits,Changed Files,Additions,Deletions,Status
311,Update Create-Custom-Tools.md,2024-03-04 15:55:00+00:00,2024-03-12 20:04:21+00:00,selimhanerhan,1,1,24,1,Close
310,Update Create-Custom-Tools.md,2024-03-04 15:51:06+00:00,2024-03-04 15:52:50+00:00,selimhanerhan,1,1,22,1,Close
309,Docs,2024-03-04 15:48:24+00:00,2024-03-04 15:49:22+00:00,selimhanerhan,3,1,24,1,Close
305,DOC - Update install instruction for crewai[tools],2024-03-03 18:58:51+00:00,2024-03-11 19:44:52+00:00,picsoung,1,1,1,1,Close
302,fix typos in README,2024-03-03 13:01:17+00:00,2024-03-03 13:17:36+00:00,2series,1,1,27,16,Close
301,Fix minor typo in README,2024-03-02 23:32:07+00:00,2024-03-03 18:10:41+00:00,mathiscode,1,1,1,1,Close
300,Fix typo in Tools.md,2024-03-02 19:23:41+00:00,2024-03-11 19:45:29+00:00,abegong,1,1,2,2,Close
295,Typo in directory name-'telemtry' should be 'telemetry',2024-03-01 11:22:27+00:00,2024-03-03 15:41:14+00:00,heyfixit,1,4,2,2,Close
289,Update test_cache_hitting.yaml,2024-02-28 17:32:17+00:00,2024-05-02 06:30:35+00:00,eltociear,1,1,5,5,Close
283,Update Tools.md,2024-02-27 18:40:56+00:00,2024-02-28 12:23:04+00:00,selimhanerhan,1,1,2,1,Close
282,Remove extraneous pip install command from Creating-a-Crew-and-kick-it-off.md,2024-02-27 18:20:31+00:00,2024-02-28 12:24:12+00:00,barapa,1,1,0,1,Close
281,Fix typoes in en.json,2024-02-27 18:14:12+00:00,2024-02-28 12:24:45+00:00,gsteinLTU,1,1,6,6,Close
280,Fix Creating-a-Crew-and-kick-it-off.md so it can run,2024-02-27 17:07:46+00:00,2024-02-27 17:23:20+00:00,barapa,2,1,1,1,Close
279,Update Creating-a-Crew-and-kick-it-off.md to add crewai-tools as dependency,2024-02-27 16:51:25+00:00,2024-02-27 17:05:51+00:00,barapa,1,1,1,0,Close
276,correct a typo in tool_usage.py,2024-02-27 01:05:11+00:00,2024-02-28 12:25:28+00:00,ya0guang,1,1,3,3,Close
271,Create pt-br. translation,2024-02-25 00:32:02+00:00,2024-04-01 13:04:23+00:00,augustoromeiro,8,3,38,4,Close
270,Add Pt-Br Language,2024-02-24 15:37:15+00:00,2024-02-25 00:32:26+00:00,augustoromeiro,3,1,33,0,Close
269,Add Pt-Br Language,2024-02-24 15:34:11+00:00,2024-02-24 15:36:01+00:00,augustoromeiro,2,1,33,0,Close
266,disable telemetry,2024-02-23 18:34:40+00:00,2024-02-23 18:36:00+00:00,smallstepman,2,2,0,17,Close
260,Update Agents.md 124,2024-02-19 20:02:53+00:00,2024-03-11 19:48:06+00:00,IAMRICHNOW,2,2,116,133,Close
257,Recommended version message,2024-02-18 20:37:08+00:00,2024-04-01 13:03:34+00:00,0xrushi,4,1,2,0,Close
252,Update LLM-Connections.md,2024-02-16 20:54:31+00:00,2024-04-01 13:03:16+00:00,ellenealds,2,1,21,2,Close
240,Fix example code in Update Tasks.md,2024-02-09 17:09:37+00:00,2024-03-31 23:40:51+00:00,sebestyenmiklos1,2,1,6,6,Close
237,Fix types,2024-02-08 21:35:36+00:00,2024-03-28 18:04:41+00:00,gvieira,1,6,29,26,Close
236,Adding translations in Portuguese and Spanish,2024-02-08 17:17:15+00:00,2024-02-08 22:05:28+00:00,francisc0arauj0,2,2,52,0,Close
235,Update Processes.md,2024-02-08 12:21:49+00:00,2024-04-10 17:52:39+00:00,punitchauhan771,1,1,6,1,Close
229,[Snorkell.ai] Please review the generated documentation for your repository,2024-02-07 14:22:43+00:00,2024-03-31 23:34:50+00:00,sumansaurabh,2,15,516,41,Close
227,Bug fix hierarchical process manager llm,2024-02-07 03:14:07+00:00,2024-02-07 23:26:26+00:00,kreutzi,1,1,1,0,Close
223,RAG integration example,2024-02-06 00:49:30+00:00,2024-03-31 23:25:08+00:00,ryanmac,1,7,115,0,Close
211,Fix undefined agent,2024-02-03 11:09:16+00:00,2024-02-05 07:54:00+00:00,punkt2,1,1,1,1,Close
210,Update README.md: new header-text clean up-fix broken links,2024-02-03 04:14:50+00:00,2024-02-03 04:29:05+00:00,ilyasudakov,2,1,72,55,Close
206,Hierarchical process,2024-02-01 22:24:12+00:00,2024-02-02 16:56:39+00:00,gvieira,7,12,1349,65,Close
201,Additional sequential process to return full task output,2024-01-30 22:09:56+00:00,2024-03-31 22:57:36+00:00,bryetz,2,1,19,0,Close
199,Test,2024-01-29 22:17:23+00:00,2024-01-29 22:27:23+00:00,gvieira,2,3,6,4,Close
191,Addresses typo and clarification in comments,2024-01-28 01:02:48+00:00,2024-01-29 02:42:32+00:00,EliadCohen,1,1,4,2,Close
188,Feature: Documentation Site,2024-01-27 19:18:51+00:00,2024-01-29 02:43:26+00:00,itlackey,6,15,861,41,Close
187,Fix static typing errors,2024-01-27 17:48:37+00:00,2024-01-29 22:52:20+00:00,gvieira,10,18,135,87,Close
180,Update wiki about local LLM to use updated langchain-community.llms #179,2024-01-24 13:41:32+00:00,2024-03-31 22:48:47+00:00,reaperkrew,2,1,2,2,Close
172,Adding the feature to auto select matching agents for a tasks,2024-01-22 08:12:50+00:00,2024-02-08 09:22:10+00:00,michaelwdombek,3,6,367,4,Close
170,.editorconfig for Consistent Python Coding Styles & Fr language for agent,2024-01-21 20:30:36+00:00,2024-03-31 22:45:24+00:00,tal7aouy,2,2,35,0,Close
168,Issue #163-Fixed the small typo,2024-01-21 16:23:56+00:00,2024-01-21 19:54:20+00:00,prabha-git,1,1,1,1,Close
165,bug fix and testcase for i18n,2024-01-21 02:44:49+00:00,2024-03-31 20:19:49+00:00,cove9988,12,2,36,3,Close
164,Instructions for running docker image,2024-01-20 21:10:43+00:00,2024-03-12 01:02:12+00:00,JimJim12,8,2,86,0,Close
161,Update agent.py,2024-01-20 13:23:20+00:00,2024-01-22 22:53:27+00:00,scott------,1,1,1,0,Close
157,Snorkell doc branch,2024-01-19 09:25:19+00:00,2024-01-19 09:27:03+00:00,sumansaurabh,2,15,73,0,Close
149,FR language support - not tested yet,2024-01-17 09:36:55+00:00,2024-03-31 18:57:22+00:00,Guerdal,1,1,20,0,Close
144,Refine Docstrings and Type Hints,2024-01-16 04:47:12+00:00,2024-01-21 19:55:17+00:00,greysonlalonde,1,3,50,13,Close
134,Add spanish support,2024-01-14 13:13:30+00:00,2024-03-31 18:57:09+00:00,meirm,1,1,20,0,Close
133,Add RPM control to both agents and crews,2024-01-14 03:20:51+00:00,2024-01-14 03:22:14+00:00,joaomdmoura,3,16,2343,85,Close
